"raw_date","start_string","end_string","start_date","end_date","start_year","end_year","start_yday","end_yday"
"5 Dec. 1782-16 July 1783","5 Dec. 1782","16 July 1783",1782-12-05,1783-07-16,1782,1783,339,197
"11 Nov. 1783-24 Mar. 1784","11 Nov. 1783","24 Mar. 1784",1783-11-11,1784-03-24,1783,1784,315,84
"18 May 1784-20 Aug. 1784","18 May 1784","20 Aug. 1784",1784-05-18,1784-08-20,1784,1784,139,233
"25 Jan. 1785-2 Aug. 1785","25 Jan. 1785","2 Aug. 1785",1785-01-25,1785-08-02,1785,1785,25,214
"24 Jan. 1786-11 July 1786","24 Jan. 1786","11 July 1786",1786-01-24,1786-07-11,1786,1786,24,192
"23 Jan. 1787-30 May 1787","23 Jan. 1787","30 May 1787",1787-01-23,1787-05-30,1787,1787,23,150
"15 Nov. 1787-11 July 1788","15 Nov. 1787","11 July 1788",1787-11-15,1788-07-11,1787,1788,319,193
"20 Nov. 1788-11 Aug. 1789","20 Nov. 1788","11 Aug. 1789",1788-11-20,1789-08-11,1788,1789,325,223
"21 Jan. 1790-10 June 1790","21 Jan. 1790","10 June 1790",1790-01-21,1790-06-10,1790,1790,21,161
"25 Nov. 1790-10 June 1791","25 Nov. 1790","10 June 1791",1790-11-25,1791-06-10,1790,1791,329,161
"31 Jan. 1792-15 June 1792","31 Jan. 1792","15 June 1792",1792-01-31,1792-06-15,1792,1792,31,167
"13 Dec. 1792-21 June 1793","13 Dec. 1792","21 June 1793",1792-12-13,1793-06-21,1792,1793,348,172
"21 Jan. 1794-11 July 1794","21 Jan. 1794","11 July 1794",1794-01-21,1794-07-11,1794,1794,21,192
"30 Dec. 1794-27 June 1795","30 Dec. 1794","27 June 1795",1794-12-30,1795-06-27,1794,1795,364,178
"29 Oct. 1795-19 May 1796","29 Oct. 1795","19 May 1796",1795-10-29,1796-05-19,1795,1796,302,140
"27 Sep. 1796-20 July 1797","27 Sep. 1796","20 July 1797",1796-09-27,1797-07-20,1796,1797,271,201
"2 Nov. 1797-29 June 1798","2 Nov. 1797","29 June 1798",1797-11-02,1798-06-29,1797,1798,306,180
"20 Nov. 1798-12 July 1799","20 Nov. 1798","12 July 1799",1798-11-20,1799-07-12,1798,1799,324,193
"24 Sep. 1799-29 July 1800","24 Sep. 1799","29 July 1800",1799-09-24,1800-07-29,1799,1800,267,210
"11 Nov. 1800-31 Dec. 1800","11 Nov. 1800","31 Dec. 1800",1800-11-11,1800-12-31,1800,1800,315,365
"22 Jan. 1801-2 July 1801","22 Jan. 1801","2 July 1801",1801-01-22,1801-07-02,1801,1801,22,183
"29 Oct. 1801-28 June 1802","29 Oct. 1801","28 June 1802",1801-10-29,1802-06-28,1801,1802,302,179
"16 Nov. 1802-12 Aug. 1803","16 Nov. 1802","12 Aug. 1803",1802-11-16,1803-08-12,1802,1803,320,224
"22 Nov. 1803-31 July 1804","22 Nov. 1803","31 July 1804",1803-11-22,1804-07-31,1803,1804,326,213
"15 Jan. 1805-12 July 1805","15 Jan. 1805","12 July 1805",1805-01-15,1805-07-12,1805,1805,15,193
"21 Jan. 1806-23 July 1806","21 Jan. 1806","23 July 1806",1806-01-21,1806-07-23,1806,1806,21,204
"15 Dec. 1806-27 Apr. 1807","15 Dec. 1806","27 Apr. 1807",1806-12-15,1807-04-27,1806,1807,349,117
"22 June 1807-14 Aug. 1807","22 June 1807","14 Aug. 1807",1807-06-22,1807-08-14,1807,1807,173,226
"21 Jan. 1808-4 July 1808","21 Jan. 1808","4 July 1808",1808-01-21,1808-07-04,1808,1808,21,186
"19 Jan. 1809-21 June 1809","19 Jan. 1809","21 June 1809",1809-01-19,1809-06-21,1809,1809,19,172
"23 Jan. 1810-21 June 1810","23 Jan. 1810","21 June 1810",1810-01-23,1810-06-21,1810,1810,23,172
"1 Nov. 1810-24 July 1811","1 Nov. 1810","24 July 1811",1810-11-01,1811-07-24,1810,1811,305,205
"7 Jan. 1812-30 July 1812","7 Jan. 1812","30 July 1812",1812-01-07,1812-07-30,1812,1812,7,212
"24 Nov. 1812-22 July 1813","24 Nov. 1812","22 July 1813",1812-11-24,1813-07-22,1812,1813,329,203
"4 Nov. 1813-30 July 1814","4 Nov. 1813","30 July 1814",1813-11-04,1814-07-30,1813,1814,308,211
"8 Nov. 1814-12 July 1815","8 Nov. 1814","12 July 1815",1814-11-08,1815-07-12,1814,1815,312,193
"1 Feb. 1816-2 July 1816","1 Feb. 1816","2 July 1816",1816-02-01,1816-07-02,1816,1816,32,184
"28 Jan. 1817-12 July 1817","28 Jan. 1817","12 July 1817",1817-01-28,1817-07-12,1817,1817,28,193
"27 Jan. 1818-10 June 1818","27 Jan. 1818","10 June 1818",1818-01-27,1818-06-10,1818,1818,27,161
"14 Jan. 1819-13 July 1819","14 Jan. 1819","13 July 1819",1819-01-14,1819-07-13,1819,1819,14,194
"23 Nov. 1819-28 Feb. 1820","23 Nov. 1819","28 Feb. 1820",1819-11-23,1820-02-28,1819,1820,327,59
"21 Apr. 1820-23 Nov. 1820","21 Apr. 1820","23 Nov. 1820",1820-04-21,1820-11-23,1820,1820,112,328
"23 Jan. 1821-11 July 1821","23 Jan. 1821","11 July 1821",1821-01-23,1821-07-11,1821,1821,23,192
"5 Feb. 1822-6 Aug. 1822","5 Feb. 1822","6 Aug. 1822",1822-02-05,1822-08-06,1822,1822,36,218
"4 Feb. 1823-19 July 1823","4 Feb. 1823","19 July 1823",1823-02-04,1823-07-19,1823,1823,35,200
"3 Feb. 1824-25 June 1824","3 Feb. 1824","25 June 1824",1824-02-03,1824-06-25,1824,1824,34,177
"3 Feb. 1825-6 July 1825","3 Feb. 1825","6 July 1825",1825-02-03,1825-07-06,1825,1825,34,187
"2 Feb. 1826-31 May 1826","2 Feb. 1826","31 May 1826",1826-02-02,1826-05-31,1826,1826,33,151
"14 Nov. 1826-2 July 1827","14 Nov. 1826","2 July 1827",1826-11-14,1827-07-02,1826,1827,318,183
"29 Jan. 1828-28 July 1828","29 Jan. 1828","28 July 1828",1828-01-29,1828-07-28,1828,1828,29,210
"5 Feb. 1829-24 June 1829","5 Feb. 1829","24 June 1829",1829-02-05,1829-06-24,1829,1829,36,175
"4 Feb. 1830-23 July 1830","4 Feb. 1830","23 July 1830",1830-02-04,1830-07-23,1830,1830,35,204
"26 Oct. 1830-22 Apr. 1831","26 Oct. 1830","22 Apr. 1831",1830-10-26,1831-04-22,1830,1831,299,112
"14 Jun. 1831-20 Nov. 1831","14 Jun. 1831","20 Nov. 1831",1831-06-14,1831-11-20,1831,1831,165,324
"6 Dec.1831-16 Aug. 1832","6 Dec.1831","16 Aug. 1832",1831-12-06,1832-08-16,1831,1832,340,229
