sale_begin,sale_no,is_input
1747/06/01,A1042a,yes
1748/00/00,A1045,no
1748/01/27,A1046,yes
1748/02/03,A1047,no
1748/02/10,A1048,no
1748/05/05,A1049,no
1748/05/18,A1049a,no
1749/00/00,A1051a,no
1749/00/00,A1051b,no
1749/00/00,A1050,no
1749/01/17,A1052,yes
1749/02/03,A1053,no
1749/02/13,A1054,no
1749/03/06,A1055,no
1749/04/04,A1056,no
1749/04/17,A1057,no
1749/04/22,A1051,no
1749/05/15,A1057a,yes
1749/05/23,A1058,no
1749/12/21,A1058a,yes
1750/00/00,A1059,no
1750/00/00,A1060,no
1750/02/08,A1063,no
1750/02/15,A1064,no
1750/02/20,A1065,no
1750/02/21,A1066,no
1750/03/07,A1062,no
1750/03/16,A1067,no
1750/03/26,A1061,no
1750/04/10,A1068,no
1750/12/04,A1069,no
1750/12/10,A1070,no
1751/01/09,A1112,no
1751/01/17,A1100,no
1751/02/11,A1101,no
1751/03/06,A1102,yes
1751/03/09,A1102a,no
1751/03/16,A1113,no
1751/03/19,A1103,yes
1751/04/00,A1104,yes
1751/04/23,A1105,yes
1751/04/30,A1106,no
1751/05/04,A1107,no
1751/05/14,A1107a,no
1751/06/13,A1108,yes
1751/11/21,A1109,no
1751/12/04,A1110,no
1752/00/00,A1111,yes
1752/03/17,A1114,no
1752/04/29,A1115,yes
1752/05/21,A1116,yes
1752/12/13,A1117,no
1753/01/10,A1118,no
1753/03/00,A1119,yes
1753/03/07,A1120,yes
1753/03/23,A1120a,no
1754/00/00,A1121,yes
1754/00/00,A1124,yes
1754/01/22,A1125,yes
1754/01/24,A1126,yes
1754/02/01,A1127,yes
1754/02/15,A1128,yes
1754/03/06,A1122,yes
1754/03/13,A1129,yes
1754/03/20,A1130,no
1754/04/01,A1131,yes
1754/04/05,A1132,yes
1754/04/05,A1130a,yes
1754/04/08,A1133,no
1754/11/18,A1134,no
1755/00/00,A1135,yes
1755/00/00,A1136,no
1755/00/00,A1137,yes
1755/00/00,A1138,yes
1755/00/00,A1139,yes
1755/00/23,A1139a,no
1755/01/09,A1140,yes
1755/01/13,A1141,no
1755/01/15,A1142,no
1755/01/22,A1143,yes
1755/02/11,A1144,no
1755/02/20,A1145,yes
1755/02/24,A1146,no
1755/02/24,A1147,yes
1755/02/28,A1148,yes
1755/03/11,A1149,no
1755/04/07,A1151,no
1755/04/10,A1152,yes
1755/04/10,A1150a,no
1755/04/30,A1153,no
1755/05/07,A1154,yes
1755/06/25,A1154a,yes
1755/12/05,A1155,no
1755/12/06,A1156,yes
1755/12/10,A1157,no
1756/00/00,A1158,no
1756/00/00,A1159,yes
1756/00/00,A1160,yes
1756/00/00,A1158a,no
1756/01/12,A1161,no
1756/01/15,A1162,no
1756/02/18,A1163,yes
1756/02/23,A1164,yes
1756/02/25,A1165,yes
1756/03/10,A1166,yes
1756/03/18,A1167,yes
1756/03/24,A1167a,no
1756/03/25,A1168,yes
1756/04/01,A1169,yes
1756/04/06,A1170,yes
1756/04/14,A1171,yes
1756/05/01,A1168a,no
1756/05/04,A1172,no
1756/06/14,A1173,no
1757/00/00,A1174,yes
1757/00/00,A1175,yes
1757/00/00,A1176,yes
1757/02/08,A1177,no
1757/02/16,A1178,no
1757/03/00,A1179,yes
1757/03/09,A1180,yes
1757/03/15,A1181,no
1757/03/16,A1182,no
1757/03/17,A1183,yes
1757/03/23,A1184,yes
1757/03/26,A1185,yes
1757/04/04,A1186,yes
1757/05/17,A1187,no
1757/11/28,A1188,no
1758/00/00,A1189,yes
1758/00/00,A1190,yes
1758/00/00,A1191,yes
1758/00/00,A1192,yes
1758/01/17,A1193,no
1758/02/03,A1194,yes
1758/02/15,A1195,yes
1758/02/21,A1196,no
1758/02/23,A1197,yes
1758/02/27,A1198,no
1758/03/09,A1199,yes
1758/03/17,A1200,yes
1758/03/21,A1201,yes
1758/04/12,A1202,yes
1758/04/12,A1203,yes
1758/04/26,A1204,no
1758/05/12,A1205,yes
1758/05/24,A1206,yes
1758/05/31,A1207,yes
1759/00/00,A1208,yes
1759/00/00,A1209,no
1759/00/00,A1210,no
1759/00/00,A1211,no
1759/00/00,A1212,no
1759/03/19,A1213,no
1759/03/22,A1214,no
1759/03/27,A1215,no
1759/03/29,A1216,no
1759/04/02,A1217,no
1759/04/10,A1218,no
1759/04/25,A1219,yes
1759/04/25,A1220,no
1759/04/27,A1221,yes
1759/05/02,A1222,no
1759/05/02,A1223,no
1759/06/01,A1224,no
1759/10/25,A1225,no
1759/11/19,A1226,no
1759/11/30,A1227,no
1759/12/03,A1228,no
1759/12/19,A1229,no
1760/01/14,A1230,no
1760/02/06,A1231,no
1760/02/11,A1231a,no
1760/02/12,A1232,no
1760/02/20,A1233,no
1760/02/23,A1234,no
